2026-05-22 18:24:04 | INFO     | ui.upload_interface | Ingested document: Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 18:24:34 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 18:24:34 | INFO     | agents.academic_agent | AcademicAgent initialised
2026-05-22 18:24:34 | INFO     | agents.agent_manager | Created agent: academic
2026-05-22 18:27:35 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 18:27:35 | INFO     | agents.research_agent | ResearchAgent initialised
2026-05-22 18:27:35 | INFO     | agents.agent_manager | Created agent: research
2026-05-22 18:29:29 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:29:29 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:29:30 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:29:30 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:29:35 | INFO     | vision.image_captioning | LLM caption generated (816 chars)
2026-05-22 18:29:35 | INFO     | vision.image_captioning | LLM caption generated (605 chars)
